SALES,STATUS,QUANTITYORDERED,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,COUNTRY,DEALSIZE
2871.0,Shipped,30,1,2,2003,Motorcycles,USA,Small
2765.8999999999996,Shipped,34,2,5,2003,Motorcycles,France,Small
3884.3399999999997,Shipped,41,3,7,2003,Motorcycles,France,Medium
3746.7000000000003,Shipped,45,3,8,2003,Motorcycles,USA,Medium
4900.0,Shipped,49,4,10,2003,Motorcycles,USA,Medium
3479.7599999999998,Shipped,36,4,10,2003,Motorcycles,USA,Medium
2497.77,Shipped,29,4,11,2003,Motorcycles,France,Small
4800.0,Shipped,48,4,11,2003,Motorcycles,Norway,Medium
2168.54,Shipped,22,4,12,2003,Motorcycles,USA,Small
4100.0,Shipped,41,1,1,2004,Motorcycles,France,Medium
3700.0,Shipped,37,1,2,2004,Motorcycles,Australia,Medium
2300.0,Shipped,23,2,4,2004,Motorcycles,USA,Small
2800.0,Shipped,28,2,5,2004,Motorcycles,USA,Medium
3400.0,Shipped,34,2,6,2004,Motorcycles,USA,Medium
4177.35,Shipped,45,3,7,2004,Motorcycles,France,Medium
3600.0,Shipped,36,3,8,2004,Motorcycles,USA,Medium
2300.0,Shipped,23,3,9,2004,Motorcycles,Finland,Small
4100.0,Shipped,41,4,10,2004,Motorcycles,Norway,Medium
4358.04,Shipped,46,4,11,2004,Motorcycles,USA,Medium
4200.0,Shipped,42,4,11,2004,Motorcycles,USA,Medium
4100.0,Shipped,41,4,11,2004,Motorcycles,Austria,Large
1451.0,Shipped,20,4,12,2004,Motorcycles,Australia,Small
733.1099999999999,Shipped,21,1,2,2005,Motorcycles,France,Small
3207.12,Shipped,42,1,3,2005,Motorcycles,USA,Medium
2400.0,Shipped,24,2,4,2005,Motorcycles,UK,Small
6600.0,Disputed,66,2,5,2005,Motorcycles,Spain,Large
2600.0,Shipped,26,1,1,2003,Classic Cars,Norway,Medium
2900.0,Shipped,29,1,3,2003,Classic Cars,Sweden,Large
3800.0,Shipped,38,2,5,2003,Classic Cars,Spain,Large
3700.0,Shipped,37,3,7,2003,Classic Cars,USA,Large
4500.0,Shipped,45,3,9,2003,Classic Cars,Singapore,Large
2100.0,Shipped,21,4,10,2003,Classic Cars,USA,Medium
3400.0,Shipped,34,4,11,2003,Classic Cars,Australia,Large
2300.0,Shipped,23,4,11,2003,Classic Cars,USA,Medium
